id,name,state,acceptance_rate,avg_sat,avg_act,avg_gpa,tuition_in_state,tuition_out_state,room_board,total_cost_in_state,total_cost_out_state,campus_size,student_population,graduation_rate,retention_rate,selectivity_score,affordability_score,quality_score,top_majors,location_type,public_private,religious_affiliation,athletics_division
1,University of Pennsylvania (CO),CO,0.432,1233,30,2.83,57572,42085,16281,73853,58366,Large,41799,0.651,0.781,0.649,0.077,0.689,"['Chemistry', 'Political Science', 'Art', 'Medicine', 'Business']",Suburban,Private,Jewish,NCAA Division I
2,Penn State University (UT),UT,0.488,1371,36,2.97,16230,45763,15545,31775,61308,Medium,20966,0.752,0.907,0.65,0.603,0.758,"['Engineering', 'Education', 'Architecture', 'Chemistry', 'Physics', 'Medicine']",Rural,Public,None,NAIA
3,Washington University in St. Louis,AZ,0.775,1173,24,3.95,26097,50059,10755,36852,60814,Large,9931,0.905,0.718,0.428,0.539,0.658,"['Psychology', 'Education', 'Political Science', 'Biology']",Urban,Private,Protestant,NCAA Division II
4,Princeton University (UT),UT,0.948,1116,19,3.84,39352,23343,19049,58401,42392,Medium,13914,0.903,0.714,0.31,0.27,0.609,"['Economics', 'Environmental Science', 'Art', 'Law', 'Psychology', 'Architecture']",Rural,Public,Jewish,NCAA Division I
5,Columbia University,CT,0.748,1540,30,3.64,31228,27994,16890,48118,44884,Medium,1108,0.85,0.889,0.536,0.399,0.736,"['Mathematics', 'Engineering', 'Physics', 'Medicine', 'Business', 'Chemistry', 'Political Science', 'Computer Science']",Urban,Private,Catholic,NCAA Division II
6,University of Washington,MN,0.262,1181,19,3.22,39801,40349,16213,56014,56562,Medium,6559,0.941,0.833,0.738,0.3,0.827,"['Architecture', 'Nursing', 'English']",Suburban,Private,Catholic,NCAA Division I
7,Brandeis University,NY,0.683,1105,33,3.11,12195,22176,19318,31513,41494,Medium,7449,0.761,0.854,0.466,0.606,0.671,"['Art', 'Environmental Science', 'Engineering', 'Physics', 'Political Science', 'Architecture', 'History', 'Medicine']",Urban,Private,Catholic,NCAA Division II
8,Washington University in St. Louis (IL),IL,0.141,1503,33,3.25,35520,53364,19463,54983,72827,Medium,37421,0.608,0.851,0.891,0.313,0.794,"['Medicine', 'Education', 'Music', 'Environmental Science', 'English']",Suburban,Private,Jewish,NCAA Division II
9,Boston University,WI,0.29,1249,34,3.99,18376,23781,13852,32228,37633,Small,29773,0.975,0.714,0.738,0.597,0.802,"['Environmental Science', 'Nursing', 'Economics']",Rural,Public,Protestant,NCAA Division II
10,Boston University,CA,0.412,1369,32,3.86,36315,19759,16608,52923,36367,Large,35011,0.711,0.727,0.695,0.338,0.709,"['Physics', 'Biology', 'Psychology', 'Environmental Science', 'Nursing']",Suburban,Private,Protestant,NCAA Division I
11,Baylor University,MN,0.599,1202,33,2.84,18684,37834,12359,31043,50193,Small,41493,0.78,0.891,0.541,0.612,0.718,"['Biology', 'Political Science', 'Psychology', 'Physics', 'English', 'Chemistry', 'History']",Urban,Public,Jewish,NAIA
12,University of Pennsylvania,WA,0.699,1417,19,3.34,40147,50061,16567,56714,66628,Small,40385,0.717,0.769,0.535,0.291,0.66,"['History', 'Psychology', 'Physics', 'Environmental Science']",Urban,Public,Protestant,NCAA Division III
13,University of Michigan,NY,0.754,1555,30,3.86,51033,40654,12721,63754,53375,Large,13634,0.865,0.827,0.537,0.203,0.722,"['Business', 'Environmental Science', 'Psychology', 'Music', 'Computer Science', 'Architecture', 'Medicine', 'Economics']",Rural,Public,Protestant,None
14,Villanova University,OH,0.563,1164,33,2.84,12397,33960,17647,30044,51607,Large,42433,0.951,0.774,0.553,0.624,0.739,"['Physics', 'Biology', 'Nursing', 'English', 'Political Science', 'Environmental Science', 'Economics']",Rural,Public,Other,None
15,Indiana University (UT),UT,0.118,1513,20,2.6,39020,47903,10945,49965,58848,Medium,36067,0.919,0.844,0.908,0.375,0.892,"['Biology', 'Computer Science', 'Business', 'Political Science', 'Environmental Science', 'History', 'Medicine']",Urban,Public,Protestant,None
16,University of Chicago,PA,0.899,1060,19,2.7,48235,16508,14736,62971,31244,Medium,29033,0.689,0.845,0.326,0.213,0.591,"['Biology', 'Economics', 'Law', 'Business', 'Physics', 'Engineering', 'Education', 'Political Science']",Rural,Private,Catholic,None
17,University of Iowa,NJ,0.535,1292,30,3.8,31902,29628,19565,51467,49193,Large,16171,0.725,0.89,0.602,0.357,0.725,"['English', 'History', 'Architecture']",Rural,Private,Jewish,NCAA Division III
18,Syracuse University (NJ),NJ,0.204,1085,25,3.92,53339,43144,19423,72762,62567,Large,7937,0.652,0.819,0.749,0.09,0.741,"['Environmental Science', 'Law', 'Physics', 'Architecture', 'English', 'Business']",Suburban,Private,Catholic,NCAA Division I
19,"University of California, San Diego",PA,0.843,1139,19,3.79,20624,21468,14740,35364,36208,Large,37068,0.664,0.893,0.379,0.558,0.618,"['Medicine', 'Architecture', 'Biology', 'Environmental Science', 'Engineering', 'Nursing']",Rural,Private,Jewish,NCAA Division II
20,University of Texas,NJ,0.081,1386,18,3.08,26615,75747,11245,37860,86992,Large,31017,0.866,0.727,0.898,0.527,0.837,"['Architecture', 'Medicine', 'History', 'Engineering', 'Biology', 'Education']",Rural,Public,Other,NCAA Division I
21,University of Washington,UT,0.555,1476,24,2.52,50504,63595,15455,65959,79050,Medium,44338,0.855,0.778,0.636,0.176,0.744,"['History', 'Nursing', 'Business']",Suburban,Private,Other,NCAA Division III
22,University of Colorado,OR,0.257,1509,29,3.24,33986,61107,10377,44363,71484,Medium,49784,0.827,0.729,0.823,0.445,0.796,"['Political Science', 'Architecture', 'Biology', 'Physics', 'Psychology']",Suburban,Public,Jewish,None
23,Boston University,CA,0.294,1060,26,2.82,30150,33108,17209,47359,50317,Small,15636,0.814,0.912,0.688,0.408,0.793,"['Computer Science', 'Music', 'Biology', 'Architecture', 'Art']",Suburban,Private,None,NAIA
24,University of Iowa (PA),PA,0.4,1180,36,2.51,32815,51829,11825,44640,63654,Large,26303,0.682,0.828,0.655,0.442,0.715,"['Mathematics', 'Business', 'Education', 'Music', 'Engineering']",Urban,Private,Jewish,NCAA Division II
25,Vanderbilt University,CO,0.522,1294,20,2.8,10502,67185,12970,23472,80155,Large,39556,0.767,0.944,0.61,0.707,0.757,"['Engineering', 'Law', 'English', 'Chemistry', 'Mathematics', 'Psychology', 'Biology']",Suburban,Private,Jewish,NCAA Division II
26,Wake Forest University,TX,0.565,1200,36,3.56,15296,79992,19504,34800,99496,Small,46830,0.646,0.836,0.561,0.565,0.669,"['Law', 'Music', 'Physics']",Suburban,Private,Protestant,NCAA Division I
27,"University of California, Los Angeles",IA,0.11,1212,33,2.92,19608,17411,14632,34240,32043,Small,26222,0.824,0.848,0.837,0.572,0.836,"['Physics', 'Nursing', 'Environmental Science', 'Mathematics', 'Business', 'Medicine']",Rural,Private,Protestant,None
28,Washington University in St. Louis,CT,0.519,1448,31,3.08,46659,64430,16300,62959,80730,Large,47781,0.89,0.786,0.65,0.213,0.763,"['Medicine', 'Art', 'Mathematics', 'Business', 'History', 'Biology', 'Music', 'Chemistry']",Rural,Private,Jewish,NCAA Division I
29,Vanderbilt University,OR,0.133,1514,29,3.36,21030,31006,8814,29844,39820,Large,12201,0.829,0.845,0.899,0.627,0.862,"['English', 'Mathematics', 'Medicine']",Rural,Private,Catholic,NCAA Division III
30,Villanova University,CT,0.458,1016,20,2.59,9862,65390,18684,28546,84074,Medium,14612,0.853,0.724,0.579,0.643,0.705,"['Physics', 'Biology', 'Mathematics', 'Art', 'History', 'Economics', 'Engineering', 'Environmental Science']",Urban,Private,Catholic,NCAA Division III
31,University of Arizona,IA,0.576,1038,29,3.39,5313,59000,16409,21722,75409,Medium,25996,0.772,0.839,0.514,0.728,0.689,"['Biology', 'Computer Science', 'Art', 'Music', 'Engineering', 'Architecture', 'Mathematics', 'English']",Suburban,Public,Other,NCAA Division III
32,Emory University,IN,0.105,1108,20,3.22,20606,51785,14610,35216,66395,Small,18494,0.724,0.771,0.814,0.56,0.774,"['Computer Science', 'Medicine', 'Architecture', 'Mathematics', 'Psychology', 'Education', 'Environmental Science', 'Chemistry']",Rural,Public,Protestant,NCAA Division I
33,Syracuse University,TX,0.856,1256,32,3.57,38354,50628,11738,50092,62366,Medium,49584,0.819,0.864,0.401,0.374,0.665,"['Engineering', 'Computer Science', 'Education', 'History']",Rural,Public,Protestant,NAIA
34,"University of California, San Diego (IN)",IN,0.716,1391,24,3.77,7516,62501,9824,17340,72325,Large,17551,0.748,0.912,0.518,0.783,0.705,"['Computer Science', 'Business', 'Biology', 'English', 'Medicine', 'Political Science', 'Psychology']",Suburban,Public,Protestant,NCAA Division I
35,University of Virginia,WI,0.748,1354,36,3.51,41296,39949,14808,56104,54757,Large,36902,0.89,0.878,0.49,0.299,0.726,"['Art', 'Chemistry', 'Business', 'Mathematics', 'Medicine', 'English', 'Education']",Suburban,Public,Catholic,NCAA Division III
36,Georgetown University,CT,0.596,1498,25,3.32,21715,35518,16372,38087,51890,Small,30925,0.955,0.832,0.617,0.524,0.783,"['History', 'Psychology', 'Mathematics']",Rural,Public,Protestant,NCAA Division II
37,Washington University in St. Louis,MA,0.534,1085,18,3.65,56185,18189,8146,64331,26335,Medium,47372,0.828,0.764,0.551,0.196,0.698,"['History', 'Art', 'Education', 'Business']",Urban,Public,Protestant,NCAA Division III
38,University of North Carolina,NY,0.941,1394,19,3.93,32162,43889,13309,45471,57198,Medium,44547,0.962,0.875,0.384,0.432,0.705,"['Business', 'Law', 'History', 'Biology', 'Environmental Science', 'Mathematics', 'Physics']",Rural,Private,Jewish,None
39,Columbia University,MA,0.144,1099,32,3.64,41201,19529,14076,55277,33605,Large,20814,0.958,0.874,0.788,0.309,0.865,"['Chemistry', 'Engineering', 'Nursing', 'Medicine']",Rural,Private,Jewish,NCAA Division III
40,Arizona State University,MA,0.16,1087,26,3.68,9839,75977,15154,24993,91131,Large,9684,0.82,0.768,0.776,0.688,0.787,"['Environmental Science', 'Biology', 'Law', 'Economics', 'Physics', 'English']",Rural,Private,Catholic,NCAA Division I
